n,p,k,heuristic,nodes_explored,backtracks,time_ms
10,0.2,3,MRV,10,0,0.15592575073242188
10,0.2,3,MRV+DH,10,0,0.10848045349121094
10,0.2,3,MRV+LCV,10,0,0.16355514526367188
10,0.2,3,MRV+DH+LCV,10,0,0.11396408081054688
10,0.4,3,MRV,9,12,0.1342296600341797
10,0.4,3,MRV+DH,10,0,0.11086463928222656
10,0.4,3,MRV+LCV,19,24,0.1938343048095703
10,0.4,3,MRV+DH+LCV,8,11,0.12993812561035156
20,0.2,3,MRV,30,34,0.3676414489746094
20,0.2,3,MRV+DH,20,0,0.30517578125
20,0.2,3,MRV+LCV,16,18,0.24747848510742188
20,0.2,3,MRV+DH+LCV,27,31,0.4417896270751953
20,0.4,3,MRV,9,12,0.164031982421875
20,0.4,3,MRV+DH,8,11,0.17309188842773438
20,0.4,3,MRV+LCV,10,12,0.18095970153808594
20,0.4,3,MRV+DH+LCV,6,9,0.16450881958007812
30,0.2,3,MRV,30,35,0.4353523254394531
30,0.2,3,MRV+DH,6,8,0.14662742614746094
30,0.2,3,MRV+LCV,39,43,0.8156299591064453
30,0.2,3,MRV+DH+LCV,16,19,0.3714561462402344
30,0.4,3,MRV,6,8,0.16760826110839844
30,0.4,3,MRV+DH,6,8,0.20241737365722656
30,0.4,3,MRV+LCV,6,9,0.17690658569335938
30,0.4,3,MRV+DH+LCV,7,10,0.2799034118652344
